feature_0,feature_1,label
3.6540750275602747,1.6890145860119348,1
3.397632302678872,0.8475825699087629,1
-3.356831551671835,8.36219723960526,0
3.5366944549950077,2.793723186828629,1
-7.342160157464649,-6.4924297142431,2
-2.3133523679550687,8.03591335058329,0
-6.237680061707569,-7.150377197639836,2
-6.584431822992434,-6.485228103273369,2
-2.2053790274478744,9.735848633324466,0
-2.09433212269084,9.477574658316428,0
-7.1119006939507425,-6.869563881534921,2
3.78638335616676,1.3037327703072417,1
-7.126545518640725,-8.806087411721048,2
-6.423377702622737,-9.924766132519109,2
5.705255108487704,1.7151241683295706,1
3.488725099675232,-0.8659089755446949,1
-7.5936923091334485,-5.7016902757122265,2
-6.266361646490126,-5.742332812607284,2
4.048860380494669,2.413229612963877,1
4.889329782158174,2.372397876880059,1
-3.061055768945197,11.572485413866573,0
-2.170713779591059,8.718884718059293,0
3.960648183035146,-0.9410863058762091,1
-4.479301440764585,9.90688346649763,0
4.497732299287556,2.311857001862422,1
-6.450865932270506,-6.10964599758872,2
-7.606401328985113,-7.757726950138852,2
-7.677833267509424,-5.861572165625552,2
-2.3896172546385968,8.041217187316766,0
4.716487906679761,1.4614061259984286,1
4.5883559077034555,2.476260052564479,1
5.622561978998043,0.5730989607577228,1
7.02825082909854,3.157426329136905,1
-1.5830200755211088,10.923702768668452,0
-8.212075539045836,-5.7089419605698,2
4.342502756984995,1.726786281426184,1
3.247143364061105,1.9386190599867685,1
-6.692636981426606,-6.924382913120596,2
-4.75863362530616,-5.902262028621616,2
-2.9736018853621378,9.476347021450218,0
3.273020472947275,2.5657369577880624,1
-6.254308857129767,-7.049384031608572,2
3.90182175256671,2.1544208465427825,1
4.641497867585042,2.387942574729523,1
-7.8045530068705435,-6.611333804127305,2
-5.446002171330324,-6.688658877318594,2
-2.8675377750739726,8.366744322563163,0
2.672553772002107,1.95192490466449,1
-2.1655793334842888,7.251245972835587,0
-2.730161796882414,9.041171967192852,0
2.957220142105416,0.9491410930543525,1
4.658697885968699,0.8015153366231702,1
-7.026766695965377,-7.536733664075651,2
4.070429061735991,1.8491482965507349,1
